,Date,H_NY_PRE,H_NY,H_NY_POST,H_CNY_PRE,H_CNY,H_CNY_POST,H_QM_PRE,H_QM,H_QM_POST,H_LABOUR_PRE,H_LABOUR,H_LABOUR_POST,H_DB_PRE,H_DB,H_DB_POST,H_MA_PRE,H_MA,H_MA_POST,H_ND_PRE,H_ND,H_ND_POST
192,2014/6/8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,2014/6/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,2014/6/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2014/6/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2014/7/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2014/7/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2014/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2014/7/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2014/8/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2014/8/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2014/8/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2014/8/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2014/8/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2014/9/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,2014/9/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
207,2014/9/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
208,2014/9/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
209,2014/10/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
210,2014/10/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,2014/10/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2014/10/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2014/11/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2014/11/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2014/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2014/11/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2014/11/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2014/12/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2014/12/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2014/12/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2014/12/28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2015/1/4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2015/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2015/1/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2015/1/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2015/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2015/2/8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2015/2/15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2015/2/22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2015/3/1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2015/3/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2015/3/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2015/3/22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2015/3/29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2015/4/5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
236,2015/4/12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,2015/4/19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,2015/4/26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
239,2015/5/3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
240,2015/5/10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241,2015/5/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2015/5/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2015/5/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2015/6/7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
245,2015/6/14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
246,2015/6/21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
247,2015/6/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
248,2015/7/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2015/7/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2015/7/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2015/7/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
