"","Date","Open","High","Low","Close","Index","Country"
"14969","02-16-2007",756.86,769.44,751.85,758.02,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14970","02-15-2007",731.62,750.61,731.62,750.61,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14971","02-14-2007",712.48,729.08,711.37,726.9,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14972","02-13-2007",702.68,711.52,701.52,710.92,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14973","02-12-2007",678.48,699.31,678.48,699.31,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14974","02-9-2007",679.6,681.44,672.09,678.04,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14975","02-8-2007",669.11,678.96,664.62,678.76,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14976","02-7-2007",658.61,669.89,658.61,666.96,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14977","02-6-2007",643.93,654.67,631.49,654.67,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14978","02-5-2007",636.61,647.92,632.77,642.91,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14979","02-2-2007",659.02,661.56,640.04,640.88,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14980","02-1-2007",647.52,663.27,635.31,659.33,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14981","01-31-2007",695.2,695.35,651.03,655.53,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14982","01-30-2007",702.9,705.44,691.5,696.03,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14983","01-29-2007",687.25,701.04,686.55,700.4,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14984","01-26-2007",666.73,687.09,645.92,683.98,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14985","01-25-2007",699.7,699.7,675.36,675.78,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14986","01-24-2007",701.63,710.14,693.62,706,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14987","01-23-2007",703.73,704.74,677.32,702.08,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14988","01-22-2007",679.56,700.2,679.56,700.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14989","01-19-2007",651.73,672.22,651.73,672.22,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14990","01-18-2007",637.81,651.28,628.23,650.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14991","01-17-2007",654.12,661.83,629.19,642.58,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14992","01-16-2007",635.38,652.03,632.6,652.03,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14993","01-15-2007",599.3,631.35,599.3,631.35,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14994","01-12-2007",608.92,618.66,596.87,599.8,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14995","01-11-2007",611.24,626.86,607.05,611.84,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14996","01-10-2007",596.2,610.42,593.39,610.42,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14997","01-9-2007",581.7,595.09,579.43,594.16,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14998","01-8-2007",562.27,579.25,562.15,579.22,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14999","01-5-2007",551.79,562.23,547.89,562.23,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15000","01-4-2007",555.26,564.39,551.91,553.69,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15001","12-29-2006",541.08,552.93,541.08,550.59,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15002","12-28-2006",546.4,548.52,535.12,539.38,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15003","12-27-2006",539.51,547.45,539.48,545.58,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15004","12-26-2006",544.18,545.61,534.59,539.77,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15005","12-25-2006",535.87,546.89,535.87,543.42,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15006","12-22-2006",537.06,541.89,531.35,535.41,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15007","12-21-2006",547.17,549.23,539.45,540.35,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15008","12-20-2006",537.54,547.27,532.61,547.26,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15009","12-19-2006",539.7,540.99,528.16,539.55,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15010","12-18-2006",527.34,539.52,527.34,537.7,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15011","12-15-2006",518.18,525.88,517.06,525.88,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15012","12-14-2006",510.65,516.95,509.73,516.95,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15013","12-13-2006",509.13,510.68,503.51,509.87,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15014","12-12-2006",508.95,511.98,500.32,508.7,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15015","12-11-2006",488.04,507.55,488.04,507.55,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15016","12-8-2006",500.87,503.65,489.24,489.33,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15017","12-7-2006",507.02,515.98,505.32,506.16,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15018","12-6-2006",514.66,516.32,492.94,508.39,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15019","12-5-2006",512.58,517.86,509.57,514.8,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15020","12-4-2006",501.06,511.53,501.06,511.4,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15021","12-1-2006",497.35,503.82,496.64,500.34,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15022","11-30-2006",484.81,496.26,484.81,495.88,"SZSE COMPOSITE INDEX","China-Shenzhen"
"15023","11-29-2006",470.75,484.62,466.03,483.62,"SZSE COMPOSITE INDEX","China-Shenzhen"
